Cycle,Capacity_Ah
772,37.44614
773,37.33651
774,37.34432
775,37.27494
776,37.31039
777,37.11317
778,36.98361
779,36.92432
780,36.90946
781,36.86922
782,36.76653
783,36.66012
784,36.56268
785,36.5757
786,36.46934
787,36.52464
788,36.37511
789,36.26142
790,36.19407
791,36.14468
792,36.02699
793,36.06218
794,35.97015
795,35.87683
796,35.81648
797,35.76436
798,35.69685
799,35.6297
800,35.54109
801,35.48069
802,35.49602
803,35.44285
804,35.37361
805,35.22156
806,35.14937
807,35.10725
808,35.10726
809,35.06156
810,34.97941
811,34.88334
812,34.8163
813,34.83106
814,34.77622
815,34.72359
816,34.61473
817,34.54277
818,34.4851
819,34.49954
820,34.4614
821,34.41175
822,34.31209
823,34.25496
824,34.19942
825,34.21148
826,34.17092
827,34.11653
828,34.00766
829,33.96506
830,33.90219
831,33.87569
832,33.8304
833,33.7772
834,33.7244
835,33.67131
836,33.61889
837,33.60952
838,33.55209
839,33.4825
840,33.42313
841,33.37147
842,33.39762
843,33.38035
844,33.32982
845,33.21836
846,33.16368
847,33.10224
848,33.11862
849,33.09227
850,33.0491
851,32.94944
852,32.89237
853,32.84318
854,32.87408
855,32.83899
856,32.78787
857,32.665
858,32.60226
859,32.55551
860,32.5735
861,32.55631
862,32.4759
863,32.37004
864,32.32845
865,32.3227
866,32.31203
867,32.27329
868,32.18918
869,32.08395
870,32.02565
871,31.98237
872,31.94092
873,31.90257
874,31.83617
875,31.80216
876,31.7498
877,31.70139
878,31.70084
879,31.66504
880,31.6035
881,31.56515
882,31.50319
883,31.54863
884,31.52816
885,31.51259
886,31.41637
887,31.34317
888,31.30175
889,31.33992
890,31.34141
891,31.30124
892,31.20949
893,31.14124
894,31.08657
895,31.1265
896,31.12862
897,31.10918
898,31.01185
899,30.93206
900,30.88141
901,30.9208
902,30.91312
903,30.91121
904,30.81566
905,30.73888
906,30.68724
907,30.72505
908,30.73299
909,30.736
910,30.65274
911,30.56726
912,30.51978
913,30.4759
914,30.54552
915,30.51399
916,30.39965
917,30.34769
918,30.29209
919,30.23376
920,30.23128
921,30.19104
922,30.1238
923,30.0638
924,30.01373
925,30.06929
926,30.04717
927,30.03239
928,29.99715
929,29.88406
930,29.82169
931,29.7827
932,29.82983
933,29.80208
934,29.77311
935,29.65529
936,29.60442
937,29.54676
938,29.60952
939,29.61392
940,29.58148
941,29.44326
942,29.37781
943,29.31432
944,29.36503
945,29.37505
946,29.34586
947,29.22621
948,29.17009
949,29.1278
950,29.16364
951,29.14175
952,29.12619
953,29.02394
954,28.95361
955,28.9011
956,28.87081
957,28.83954
958,28.82448
959,28.76383
960,28.71029
961,28.6518
962,28.59895
963,28.58388
964,28.56923
965,28.52041
966,28.4765
967,28.44664
968,28.41406
969,28.48703
970,28.48845
971,28.47278
972,28.33786
973,28.28042
974,28.23315
975,28.28193
976,28.2547
977,28.24268
978,28.1455
979,28.11712
980,28.05614
981,28.09132
982,28.07434
983,28.05477
984,27.98845
985,27.90631
986,27.86013
987,27.80546
988,27.86267
989,27.85311
990,27.81318
991,27.6756
992,27.62701
993,27.57035
994,27.62752
995,27.60821
996,27.61819
997,27.47034
998,27.39808
999,27.34561
1000,27.30778
1001,27.32382
1002,27.31936
1003,27.22086
1004,27.15749
1005,27.10062
1006,27.04333
1007,27.03747
1008,27.01606
1009,26.94096
1010,26.88619
1011,26.80972
1012,26.80043
1013,26.83367
1014,26.81773
1015,26.75929
1016,26.61954
1017,26.58489
1018,26.50391
1019,26.55197
1020,26.53125
1021,26.49181
1022,26.3931
1023,26.30798
1024,26.24219
1025,26.23031
1026,26.23189
1027,26.16994
1028,26.10835
1029,25.95573
1030,25.8971
1031,25.81581
1032,25.86711
1033,25.80262
1034,25.73201
1035,25.63669
1036,25.53428
1037,25.43612
1038,25.45227
1039,25.3597
1040,25.30349
1041,25.20501
1042,25.11896
1043,25.0295
1044,24.91924
1045,24.92278
1046,24.83152
1047,24.70926
1048,24.57877
1049,24.47793
1050,24.34909
1051,24.28352
1052,24.23457
1053,24.15282
1054,24.00252
1055,23.4867
1056,23.4939
1057,23.53367
1058,22.97795
1059,42.30785
1060,41.87066
1061,41.52909
1062,41.33967
1063,41.18104
1064,41.02586
1065,40.8994
1066,40.79503
1067,40.74438
1068,40.68485
1069,40.60013
1070,40.50452
1071,40.43369
1072,40.40463
1073,40.34649
1074,40.2988
1075,40.19771
1076,40.13181
1077,40.10573
1078,40.08531
1079,40.03177
1080,39.89863
1081,39.83866
1082,39.85439
1083,39.85819
1084,39.8131
1085,39.75293
1086,39.68954
1087,39.64206
1088,39.62544
1089,39.55761
1090,39.50496
1091,39.5019
1092,39.47879
1093,39.45306
1094,39.43295
1095,39.37012
1096,39.35182
1097,39.31443
1098,39.337
1099,39.29031
1100,39.23398
1101,39.16776
1102,39.10219
1103,39.09407
1104,39.05573
1105,39.03842
1106,39.01179
1107,38.98168
1108,38.94867
1109,38.91203
1110,38.86923
1111,38.79635
1112,38.79012
1113,38.74873
1114,38.74203
1115,38.71333
1116,38.68022
1117,38.62681
1118,38.60684
1119,38.59751
1120,38.5992
1121,38.57839
1122,38.50416
1123,38.47115
1124,38.45298
1125,38.45159
1126,38.38531
1127,38.31817
1128,38.28076
1129,38.25924
1130,38.2688
1131,38.24532
1132,38.1953
1133,38.14821
1134,38.10879
1135,38.12156
1136,38.10528
1137,38.08158
1138,38.02779
1139,37.97578
1140,37.98397
1141,38.0135
1142,37.96254
1143,37.89736
1144,37.83998
1145,37.81192
1146,37.83275
1147,37.81727
1148,37.78263
1149,37.68752
1150,37.65624
1151,37.65066
1152,37.60625
1153,37.58308
1154,37.48849
1155,37.44874
1156,37.40786
1157,37.43557
1158,37.41055
1159,37.35066
1160,37.28806
1161,37.23084
1162,37.20161
1163,37.18746
1164,37.14303
1165,37.09174
1166,37.05056
1167,37.10584
1168,37.03188
1169,37.01448
1170,36.93755
1171,36.90047
1172,36.84549
1173,36.8619
1174,36.83285
1175,36.8125
1176,36.72073
1177,36.66068
1178,36.60738
1179,36.62656
1180,36.60392
1181,36.52348
1182,36.44467
1183,36.38035
1184,36.39794
1185,36.41551
1186,36.37282
1187,36.28381
1188,36.23036
1189,36.18655
1190,36.20231
1191,36.21902
1192,36.13667
1193,36.07508
1194,36.01627
1195,36.05267
1196,36.05487
1197,36.03378
1198,35.96054
1199,35.92267
1200,35.87791
1201,35.89117
1202,35.86728
1203,35.78827
1204,35.73825
1205,35.68158
1206,35.62581
1207,35.63268
1208,35.59175
1209,35.526
1210,35.48159
1211,35.43449
1212,35.45241
1213,35.46309
1214,35.41648
1215,35.32725
1216,35.28664
1217,35.30222
1218,35.28955
1219,35.27092
1220,35.20739
1221,35.1616
1222,35.11889
1223,35.13604
1224,35.14978
1225,35.09308
1226,35.01505
1227,34.9678
1228,34.92524
1229,34.97386
1230,34.96049
1231,34.90107
1232,34.8472
1233,34.80274
1234,34.80428
1235,34.80455
1236,34.77025
1237,34.7116
1238,34.65514
1239,34.61021
1240,34.57349
1241,34.56794
1242,34.51742
1243,34.4678
1244,34.42847
1245,34.37492
1246,34.36763
1247,34.33567
1248,34.29802
1249,34.25676
1250,34.21637
1251,34.24697
1252,34.27064
1253,34.22684
1254,34.14926
1255,34.0965
1256,34.05117
1257,34.08159
1258,34.06703
1259,34.03348
1260,33.95771
1261,33.92724
1262,33.87688
1263,33.917
1264,33.90395
1265,33.85493
1266,33.79396
1267,33.73827
1268,33.74231
1269,33.72984
1270,33.71532
1271,33.65351
1272,33.61068
1273,33.57228
1274,33.57907
1275,33.57215
1276,33.55627
1277,33.46617
1278,33.42138
1279,33.37209
1280,33.37127
1281,33.36883
1282,33.31268
1283,33.24994
1284,33.19597
1285,33.15319
1286,33.15284
1287,33.14482
1288,33.09256
1289,33.01503
1290,32.96568
1291,32.97936
1292,32.99866
1293,32.97445
1294,32.89625
1295,32.83465
1296,32.78696
1297,32.80254
1298,32.7995
1299,32.78246
1300,32.70775
1301,32.66961
1302,32.62261
1303,32.66275
1304,32.62476
1305,32.5949
1306,32.51044
1307,32.44765
1308,32.40626
1309,32.46744
1310,32.41526
1311,32.40241
1312,32.33372
1313,32.26975
1314,32.24757
1315,32.27242
1316,32.24324
1317,32.19757
1318,32.19237
1319,32.13623
1320,32.11633
1321,32.11773
1322,32.0911
1323,32.03877
1324,32.04382
1325,31.95911
1326,31.92181
1327,31.92775
1328,31.91824
1329,31.81003
1330,31.75261
1331,31.70298
1332,31.74016
1333,31.73985
1334,31.70103
1335,31.60213
1336,31.56418
1337,31.50102
1338,31.6088
1339,31.54807
1340,31.51685
1341,31.48753
1342,31.39402
1343,31.35543
1344,31.39267
1345,31.36872
1346,31.31227
1347,31.26543
1348,31.18686
1349,31.15638
1350,31.1851
1351,31.17469
1352,31.14486
1353,31.05208
1354,30.99726
1355,31.01811
1356,30.98132
1357,30.9215
