图表类型,作用/功能,优点,缺点,适用场景/触发关键词,输入数据要求,论文来源示例
相关性系数矩阵热力图,展示多变量间的相关性强度,全面展示变量关联;便于特征选择,仅线性相关;高维时拥挤,相关性矩阵、correlation、变量关系,变量数据矩阵,2307336-图4
主成分分析载荷图,展示原变量在主成分上的载荷分布,降维解释;特征识别,信息损失;解释困难,PCA、主成分、载荷图、降维,主成分载荷矩阵,2305598-图7
聚类分析树状图,展示层次聚类的聚类过程和结果,聚类结构清晰;可视化效果好,距离度量选择影响大,聚类分析、dendrogram、层次聚类,距离矩阵,2407414-图8
K-means聚类散点图,展示K-means聚类后各类别的分布,类别区分清晰;便于解释,K值选择主观;仅球形聚类,K-means、聚类、散点图,样本特征、聚类标签,2410578-图9
极端天气事件频率图,展示极端天气事件的年度频率变化,趋势可视化;风险预警,定义极端事件标准不一,极端天气、灾害频率、气候风险,年度事件统计,2407414-图1
保险损失分布图,展示保险理赔损失的统计分布,风险量化;定价参考,历史数据依赖;尾部风险,损失分布、理赔、保险风险,损失金额数据,2400860-图2
土地利用变化图,展示区域土地利用类型的时空变化,生态变化可视化;政策评估,分辨率限制;分类标准差异,土地利用、LULC、空间变化,遥感分类数据,2305598-图2
光污染空间分布图,展示区域光污染强度的空间分布,空间异质性清晰;便于治理,数据获取困难;时间变化大,光污染、LPI、空间分布,夜间灯光数据,2307336-图3
生态足迹对比图,对比不同地区或时期的生态足迹,可持续性评估;对比清晰,计算方法差异;数据可得性,生态足迹、可持续性、环境容量,足迹计算数据,2209336-图8
可持续发展指标雷达图,展示可持续发展各维度的得分,多维度综合展示;直观美观,维度选择主观;得分标准化问题,可持续发展、SDG、多维评价,各维度得分,2202838-图5
信息扩散风险曲线图,展示基于信息扩散的风险概率分布,小样本风险估计;平滑分布,扩散系数选择影响大,信息扩散、风险概率、小样本,历史风险数据,2401102-图4
ARIMA预测对比图,展示ARIMA模型预测值与实际值对比,预测精度验证;趋势可视,平稳性要求高;长期预测不稳,ARIMA、时间序列预测、趋势,时间序列数据,2305598-图9
研究工作流程图,展示从问题定义到结论的完整研究流程,逻辑清晰;便于复现,可能过于简化,工作流程、技术路线、研究框架,研究步骤定义,2407414-图15
模型总体框架图,展示多模型协同工作的整体框架,系统架构清晰;全局视角,细节展示不足,系统架构、模型框架、总体设计,模型组件定义,2400860-图1
案例研究地理位置图,展示研究区域的地理位置和边界,空间定位明确;增强说服力,需地图数据支持,地理位置、研究区域、case study,地理坐标、边界数据,2209336-图1
100年预测结果图,展示长期（100年）预测的主要结果,长期规划参考;趋势展望,预测不确定性累积,长期预测、100年、趋势预测,长期预测数据,2203489-图11
管理策略对比表,以表格形式对比不同管理策略的优缺点,系统对比;决策参考,信息密度高;视觉吸引力低,策略对比、方案比较、决策表,策略描述、评价指标,2202838-表5
指标权重计算结果表,以表格展示各指标的最终权重值,精确呈现数值;便于引用,仅数值;缺乏可视化,权重结果、AHP权重、EWM权重,指标名称、权重值,2407414-表4
综合评价得分汇总表,汇总各评价对象的综合得分和排名,结果清晰;便于对比,仅最终结果;过程不可见,评价汇总、得分排名、综合结果,评价对象、得分、排名,2410578-表6
AHP判断矩阵表,展示准则层的两两比较判断结果,数据透明;可验证一致性,需专家打分;主观性,判断矩阵、两两比较、1-9标度,准则比较值,2203489-表1
熵值与权重计算过程表,展示熵权法计算的完整过程,客观透明;可复现,计算步骤多;展示繁琐,熵值计算、EWM过程、权重确定,原始数据矩阵、熵值、差异系数,2209336-表4
TOPSIS标准化矩阵表,展示指标标准化处理后的矩阵,数据规范;消除量纲影响,仅中间结果;需配合解释,标准化、归一化、TOPSIS数据处理,原始指标值、标准化值,2401102-表2
CRITIC权重对比表,展示CRITIC法与其他方法的权重对比,多方法对比;增强可信度,需计算多种权重,CRITIC、客观赋权、权重对比,各方法权重值,2400860-表4
组合权重计算结果表,展示AHP-EWM组合权重的计算结果,融合主客观;更全面,组合系数需设定,组合赋权、综合权重、α系数,AHP权重、EWM权重、组合权重,2407414-表5
分层指标体系表,展示评价指标的层次结构与定义,体系完整;逻辑清晰,指标选取需论证,指标体系、层次结构、评价指标,目标层、准则层、指标层定义,2202838-表1
正负理想解计算表,展示TOPSIS正负理想解的确定过程,数学严谨;便于验证,仅呈现极值;缺乏过程,理想解、正理想、负理想,各指标最优最劣值,2410578-表3
相对贴近度排序表,展示各方案的相对贴近度与最终排名,排序明确;结论清晰,仅展示结果;过程隐藏,贴近度、C值、方案排序,距离计算结果、贴近度值,2401102-表4
GE矩阵象限划分表,展示九宫格各象限的战略建议,策略导向;决策明确,象限边界需定义,GE九宫格、象限策略、战略建议,业务强度、吸引力、象限定义,2203489-表6
转换点参数设置表,展示转换点分析的参数设置与阈值,参数透明;可调整,参数敏感;需验证,转换点、阈值设定、参数表,切换条件、临界值,2202838-表7
DEA投入产出指标表,展示DEA分析的投入产出指标定义,指标明确;便于复现,投入产出划分需论证,DEA指标、投入产出、效率评价,投入指标、产出指标定义,2401102-表5
破产概率参数表,展示破产理论模型的参数设置,理论严谨;可计算,参数假设较强,破产参数、Ruin Theory、保险风险,初始盈余、索赔分布、费率,2400860-表6
碳汇转换系数表,展示不同树种的碳汇转换参数,数据详实;科学依据,参数来源需引用,碳转换、CO2固存、树种参数,树种、碳含量、转换系数,2202666-表2
碳价格情景假设表,展示不同碳价情景的参数设定,情景全面;决策参考,情景设定主观,碳价格、情景分析、敏感性,低/中/高情景价格,2209336-表5
管理策略参数对比表,对比不同管理策略的关键参数差异,决策导向;对比清晰,策略简化;细节不足,策略对比、参数差异、管理方案,砍伐周期、强度、策略名称,2223269-表4
风险等级划分标准表,展示风险等级的划分依据与标准,标准明确;等级清晰,划分边界需论证,风险等级、分级标准、阈值,风险指数、等级名称、范围,2407414-表2
极端天气事件统计表,展示历年极端天气事件的统计数据,数据详实;趋势支撑,数据来源需引用,极端天气、灾害统计、事件频率,年份、事件类型、频次,2410889-表1
