图表类型,作用/功能,优点,缺点,适用场景/触发关键词,输入数据要求,论文来源示例
层次聚类树状图,展示国家聚类的层次结构,层次关系清晰;可视化效果好,距离度量影响大,层次聚类、dendrogram、国家分组,距离矩阵,2307946-图15
聚类轮廓系数图,评估聚类质量和最优K值,选择最优K;科学依据,计算量大,轮廓系数、聚类评估、K值选择,聚类结果、轮廓系数,2311717-图16
特征相关性热力图,展示GDP/人口/历史成绩等特征的相关性,识别多重共线性;特征选择,仅线性相关,相关性矩阵、特征关系、correlation,特征数据矩阵,2314151-图17
主成分分析载荷图,展示原特征在主成分上的载荷,降维解释;特征重要性,信息损失,PCA、主成分、降维、载荷,主成分载荷矩阵,2218931-图18
主成分累计贡献率图,展示主成分的累计方差贡献率,选择主成分数量;科学依据,信息损失不可逆,主成分数量、方差贡献、PCA,特征值、贡献率,2401919-图19
因子分析路径图,展示潜在因子与观测变量的关系,结构清晰;因果关系,因子命名主观,因子分析、潜在变量、路径,因子载荷矩阵,2406176-图20
GDP与奖牌数散点图,展示GDP与奥运奖牌数的关系,经济因素影响直观;支撑假设,相关非因果,GDP、经济因素、散点图,GDP数据、奖牌数,2301192-图21
人口与奖牌数回归拟合图,展示人口规模与奖牌数的回归关系,定量关系明确;预测基础,线性假设,人口、回归、线性拟合,人口数据、奖牌数、回归线,2309397-图22
多元线性回归系数图,展示多个自变量的回归系数和显著性,变量重要性排序;统计显著,共线性影响,回归系数、变量重要性、显著性,回归模型结果、p值,2318982-图23
回归诊断图(残差vs拟合值),检验回归假设(线性、等方差、独立性),模型诊断;假设检验,需统计知识,回归诊断、残差图、异方差,拟合值、残差,2314151-图24
Lasso回归路径图,展示正则化参数变化时变量系数的变化,特征筛选;降维,lambda选择需交叉验证,Lasso、正则化、特征选择,正则化路径、系数,2310767-图25
岭回归交叉验证图,展示岭回归参数选择的交叉验证误差,最优参数选择;过拟合控制,需调参,岭回归、Ridge、交叉验证,lambda参数、CV误差,2314151-图26
特征重要性条形图(树模型),展示随机森林/XGBoost等模型的特征重要性,重要性排序清晰;可解释,不同模型重要性不同,特征重要性、树模型、SHAP,特征名称、重要性得分,2318036-图27
SHAP值解释图,展示SHAP值对模型预测的贡献,模型可解释性强;公平分配,计算复杂,SHAP、可解释性、特征贡献,SHAP值、特征,2403774-图28
决策树可视化图,展示决策树的分裂规则和叶节点,决策路径清晰;可解释,过深时难以展示,决策树、分裂规则、可视化,决策树结构,2307946-图29
随机森林OOB误差图,展示随机森林树数量与袋外误差的关系,选择最优树数量;过拟合监控,需较多树,随机森林、OOB、树数量,树数量、OOB误差,2318036-图30
XGBoost训练曲线图,展示XGBoost训练集和验证集的损失曲线,监控过拟合;早停决策,需调参,XGBoost、训练曲线、早停,迭代次数、损失值,2310767-图31
学习曲线图,展示训练集大小对模型性能的影响,诊断欠拟合/过拟合;数据需求,需多次训练,学习曲线、样本量、性能,训练集大小、误差,2311035-图32
验证曲线图,展示超参数对模型性能的影响,调参指导;最优参数,需多次训练,验证曲线、超参数、调优,参数值、性能指标,2409404-图33
混淆矩阵热力图,展示分类模型的预测准确性(如奖牌等级分类),分类错误直观;性能评估,仅适用分类,混淆矩阵、分类准确率、误判,实际类别、预测类别,2311717-图34
ROC曲线与AUC值,评估二分类模型性能(如是否获奖),性能综合评估;阈值无关,仅二分类,ROC、AUC、二分类、阈值,真正率、假正率,2200688-图35
PR曲线(Precision-Recall),适用不平衡数据的分类评估,不平衡数据适用,需理解权衡,PR曲线、不平衡、精确率召回率,精确率、召回率,2401445-图36
性能指标雷达图,展示模型在RMSE/MAE/R²/MAPE等指标的综合表现,多维度评估;直观对比,指标标准化需注意,性能雷达图、综合评估、多指标,RMSE、MAE、R²、MAPE,2309397-图37
预测区间图,展示点预测及其置信区间/预测区间,不确定性量化;风险评估,区间计算假设强,置信区间、预测区间、不确定性,预测值、上下界,2212336-图38
蒙特卡洛模拟分布图,展示基于蒙特卡洛模拟的预测分布,量化不确定性;概率分布,计算量大,蒙特卡洛、Monte Carlo、概率,模拟结果分布,2425454-图39
情景分析对比图,对比乐观/基准/悲观情景的预测结果,决策鲁棒性;风险预判,情景设定主观,情景分析、scenario、敏感性,各情景预测结果,2307166-图40
敏感性分析龙卷风图,展示各参数对预测结果的敏感性排序,快速识别关键参数;直观,仅单参数影响,敏感性、龙卷风图、参数影响,参数变化、结果变化,2212336-图41
主办国效应分析图,展示主办国在主办年的奖牌数提升,主办国优势明确;政策参考,样本量小,主办国、home advantage、主场效应,主办年奖牌数、平均值,2301192-图42
新增/取消项目影响图,展示奥运项目变化对奖牌数的影响,项目调整影响可视,需详细项目数据,新增项目、取消项目、项目变化,项目变化历史、奖牌变化,2309397-图43
教练更换影响图,展示教练团队变化对成绩的影响,人员因素可视化;有针对性,数据获取困难,教练、人员变动、team change,教练更换年份、成绩变化,2318982-图44
世界排名变化趋势图,展示国家在世界奖牌榜排名的变化,竞争态势清晰;长期趋势,排名与实力非线性,世界排名、奖牌榜、排名变化,年份、排名,2307946-图45
国家间奖牌差距图,展示前N名国家的奖牌差距及变化,竞争强度可视化;差距分析,仅头部国家,奖牌差距、竞争、国家对比,各国奖牌数,2311035-图46
奖牌增长率热力图,展示各国各届的奖牌增长率,增长动态清晰;便于识别异常,增长率受基数影响,增长率、变化率、动态,历届奖牌数,2314151-图47
地理空间分布图,在地图上展示各国奥运奖牌数,空间异质性直观;视觉冲击,需地图数据,地理分布、空间、地图可视化,国家坐标、奖牌数,2301192-图48
项目类别分布桑基图,展示各国在不同项目类别的奖牌流向,流向清晰;结构可视,复杂时难以展示,桑基图、流向、项目分类,国家-项目-奖牌数据,2307166-图49
集成学习权重分配图,展示集成模型中各基学习器的权重,集成策略透明;可调整,需训练多模型,集成学习、ensemble、权重,基模型、权重值,2310767-图50
模型融合流程图,展示多模型融合的完整架构,系统架构清晰;全局视角,细节展示不足,模型融合、ensemble、架构,模型组件定义,2200688-图51
训练-验证-测试分割示意图,展示数据集的分割策略,数据使用透明;可复现,仅示意,数据分割、train-test、数据集,样本量、比例,2203120-图52
时间序列平稳性检验图,展示ADF/KPSS等平稳性检验结果,统计严谨;建模前提,需统计知识,平稳性、ADF、KPSS、单位根,时间序列、检验统计量,2218743-图53
交叉验证折数误差图,展示k折交叉验证的各折误差,验证鲁棒性;避免偶然性,计算量大,交叉验证、k-fold、CV,各折误差、平均误差,2311035-图54
网格搜索参数热力图,展示不同参数组合的性能热力图,最优参数可视化;全局搜索,计算量大,网格搜索、Grid Search、调参,参数组合、性能,2409404-图55
贝叶斯优化迭代图,展示贝叶斯优化过程中参数和性能的迭代变化,高效调参;可视化过程,需专业工具,贝叶斯优化、Bayesian、超参数,迭代次数、性能,2401298-图56
遗传算法进化曲线图,展示遗传算法种群适应度的进化过程,优化过程可视;收敛监控,参数敏感,遗传算法、进化、适应度,代数、最优适应度,2212336-图57
马尔可夫状态转移图,展示奥运成绩状态间的转移概率,转移规律清晰;预测依据,状态划分主观,马尔可夫、状态转移、Markov,状态、转移概率,2318982-图58
隐马尔可夫模型路径图,展示HMM的状态序列和观测序列,序列模式识别;结构清晰,训练复杂,HMM、隐状态、序列,状态序列、观测序列,2401445-图59
GRU/LSTM单元结构图,展示循环神经网络单元的内部结构,网络架构清晰;教育意义,仅示意,GRU、LSTM、RNN、网络结构,网络架构定义,2406324-图60
神经网络训练损失曲线图,展示神经网络训练和验证损失随epoch的变化,监控过拟合;早停依据,需调参,神经网络、损失曲线、训练,epoch、loss,2311717-图61
激活函数对比图,对比ReLU/Sigmoid/Tanh等激活函数,激活函数选择;理论支撑,仅理论,激活函数、ReLU、Sigmoid,函数输入输出,2204883-图62
梯度消失/爆炸监控图,展示训练过程中梯度的变化,诊断训练问题;优化指导,需专业知识,梯度、gradient、训练诊断,层数、梯度值,2406324-图63
Attention权重热力图,展示注意力机制的权重分布,可解释性强;关注重点,需Transformer架构,注意力、Attention、权重,序列位置、注意力权重,2409961-图64
模型架构流程图,展示从输入到输出的完整模型架构,系统架构清晰;全局理解,细节简化,模型架构、网络结构、流程,层定义、连接关系,2200688-图65
研究工作流程图,展示从问题定义到结论的完整研究流程,逻辑清晰;便于复现,可能过于简化,工作流程、技术路线、研究框架,研究步骤定义,2203120-图66
案例研究地理位置图,展示重点研究国家的地理位置,空间定位明确;增强说服力,需地图数据,地理位置、研究区域、case study,地理坐标、边界,2301192-图67
2028奥运预测结果图,展示2028洛杉矶奥运的预测奖牌数,预测结果直观;决策参考,不确定性累积,2028预测、洛杉矶、未来预测,2028预测值,2307946-图68
历届奥运主办城市地图,展示历届奥运主办城市的地理分布,历史轨迹清晰;文化背景,需地图数据,主办城市、历史、地理,主办城市坐标,2309397-图69
运动员年龄分布直方图,展示获奖运动员的年龄分布,年龄规律识别;人才规划,数据获取困难,年龄分布、运动员、histogram,运动员年龄,2311035-图70
性别奖牌分布对比图,对比男女运动员的奖牌获取情况,性别差异明确;公平性分析,项目设置影响,性别、男女、gender,性别、奖牌数,2314151-图71
数据预处理流程图,展示数据清洗和特征工程的完整流程,数据处理透明;可复现,流程简化,数据预处理、清洗、特征工程,处理步骤,2218931-图72
缺失值处理前后对比图,对比缺失值处理前后的数据分布,处理效果可视;验证合理性,需选择处理方法,缺失值、插补、imputation,原始数据、处理后数据,2301192-图73
异常值检测箱线图,使用箱线图识别和展示异常值,异常值直观;统计严谨,阈值设定影响,异常值、outlier、箱线图,数据分布,2307946-图74
特征标准化对比图,对比特征标准化前后的分布,标准化效果验证;尺度统一,需选择方法,标准化、归一化、scaling,原始特征、标准化特征,2311717-图75
模型性能对比表,以表格形式对比多模型的性能指标,全面对比;便于决策,信息密度高,模型对比表、性能指标、汇总,模型名称、RMSE、MAE、R²,2310767-表1
ARIMA参数识别表,展示ARIMA(p,d,q)参数的识别过程,参数选择透明;可复现,需专业知识,ARIMA参数、AIC、BIC,p、d、q、AIC、BIC,2218743-表2
回归模型系数表,展示回归模型的系数估计和显著性,统计严谨;假设检验,表格形式,回归系数、显著性、p值,变量名、系数、标准误、p值,2309397-表3
特征工程结果表,展示特征工程生成的新特征及其定义,特征定义清晰;可复现,仅列表,特征工程、新特征、定义,特征名称、计算方式,2301192-表4
训练集-测试集性能对比表,对比模型在训练集和测试集的性能,诊断过拟合;性能评估,仅数值,训练集、测试集、性能对比,数据集、性能指标,2311035-表5
超参数设置汇总表,汇总模型的超参数设置,参数透明;可复现,仅列表,超参数、参数设置、配置,参数名称、参数值,2403774-表6
聚类结果统计表,展示各聚类的样本数和特征均值,聚类特征明确;便于解释,统计形式,聚类统计、样本数、均值,聚类标签、统计值,2307946-表7
主成分方差贡献表,展示各主成分的特征值和方差贡献率,选择主成分数;科学依据,仅数值,主成分、特征值、方差贡献,PC编号、特征值、贡献率,2218931-表8
因子载荷矩阵表,展示因子分析的因子载荷,因子命名依据;变量归类,需专业解释,因子载荷、rotation、因子命名,变量名、因子、载荷,2406176-表9
相关性系数矩阵表,展示变量间的Pearson/Spearman相关系数,相关性量化;统计检验,表格密集,相关系数、correlation、矩阵,变量对、相关系数、p值,2314151-表10
VIF多重共线性检验表,展示方差膨胀因子诊断多重共线性,共线性诊断;阈值明确,需专业判断,VIF、多重共线性、共线性诊断,变量名、VIF值,2314151-表11
数据描述性统计表,展示数据的均值/中位数/标准差等,数据特征全面;便于引用,信息密度高,描述性统计、均值、标准差,变量名、统计量,2301192-表12
ADF单位根检验表,展示时间序列平稳性检验结果,统计严谨;建模前提,需统计知识,ADF、平稳性、单位根,序列名、ADF统计量、p值,2218743-表13
Ljung-Box残差检验表,检验残差的自相关性,模型充分性检验;统计严谨,需统计知识,Ljung-Box、残差、自相关,滞后阶数、Q统计量、p值,2218931-表14
Granger因果检验表,检验变量间的格兰杰因果关系,因果推断;统计支撑,因果非真实因果,Granger、因果检验、causality,变量对、F统计量、p值,2318982-表15
协整检验结果表,检验时间序列间的长期均衡关系,长期关系识别;理论支撑,需专业知识,协整、cointegration、长期均衡,序列名、检验统计量、p值,2322645-表16
