图表类型,作用/功能,优点,缺点,适用场景/触发关键词,输入数据要求,出现次数,论文来源示例,模型类别关联
随机森林决策边界图,展示随机森林的分类决策边界,分类规则可视;决策理解;边界复杂度,仅适用2-3维特征;需投影,随机森林/分类/决策边界/RF,特征1/特征2/类别标签,推荐,随机森林(20次),机器学习类
SHAP值解释图,展示SHAP值对单个预测的特征贡献,可解释性强;因果贡献;模型透明,计算密集;需SHAP库,SHAP/可解释AI/特征贡献/模型解释,SHAP值/特征/预测值,推荐,机器学习类通用,机器学习类
学习曲线图,展示训练集大小对模型性能的影响,数据需求评估;过拟合/欠拟合诊断;样本效率,需多次训练;计算成本,学习曲线/样本量/泛化/数据需求,训练集大小/性能指标,推荐,机器学习类通用,机器学习类
交叉验证误差图,展示k折交叉验证各折的性能,验证鲁棒性;性能稳定性;过拟合检测,计算成本高;需合理选择k,交叉验证/k-fold/CV/验证,折数/性能指标/方差,推荐,交叉验证(1次),验证分析类
混淆矩阵热力图,展示分类模型的预测混淆情况,分类错误直观;类别不平衡识别;模型诊断,仅适用分类;类别多时复杂,混淆矩阵/分类评估/误判/accuracy,真实类别/预测类别/计数,推荐,机器学习类通用,机器学习类
ROC曲线,展示二分类模型在不同阈值下的性能,阈值无关评估;AUC汇总;模型对比,仅适用二分类;不平衡数据时需注意,ROC/AUC/二分类/阈值/敏感性,真正率/假正率/阈值,推荐,机器学习类通用,机器学习类
回归拟合图,展示回归模型的拟合效果和预测vs实际,拟合效果直观;异常值识别;R²展示,仅适用回归;残差需单独分析,线性回归/拟合/预测vs实际/R²,实际值/预测值/置信带,推荐,线性回归(11次),统计分析类
Q-Q图(正态性检验),检验残差是否服从正态分布,假设检验;分布诊断;统计严谨,需统计知识;仅检验正态性,正态性/Q-Q plot/残差检验/统计假设,理论分位数/样本分位数,推荐,统计分析类通用,统计分析类
直方图(分布),展示数据的频率分布,分布形态直观;异常值识别;参数估计,bin选择影响;连续vs离散,分布分析/频率/histogram/数据探索,数据值/bin边界/频数,推荐,统计分析类通用,统计分析类
箱线图,展示数据的中位数、四分位数和异常值,分布汇总;异常值检测;分组对比,细节丢失;分布假设,箱线图/boxplot/四分位/异常值/分组,分组标签/数据值,推荐,统计分析类通用,统计分析类
主成分得分图,展示样本在主成分空间的分布,降维可视;聚类模式;异常值识别,信息损失;前两主成分不一定代表全局,PCA/主成分/降维/投影,主成分1/主成分2/样本标签,推荐,主成分分析(1次),统计分析类
主成分方差解释图,展示各主成分的方差解释比例,维度选择;信息保留评估;降维决策,累积贡献率阈值主观;前几个主成分,主成分数量/方差贡献/cumulative,主成分编号/方差比例,推荐,主成分分析(1次),统计分析类
聚类轮廓系数图,展示不同K值下的轮廓系数,最优K选择;聚类质量评估;科学依据,计算成本;不同方法结果不同,K-means/聚类评估/轮廓系数/最优K,K值/轮廓系数,推荐,K均值(1次),机器学习类
聚类中心可视化,展示聚类中心在特征空间的位置,类别特征直观;类别区分;代表性识别,高维需投影;仅展示中心,K-means/聚类中心/类别特征,聚类标签/中心坐标/特征,推荐,K均值(1次),机器学习类
AHP层次结构图,展示AHP方法的目标-准则-方案层次,决策结构清晰;权重分配可视;系统性展示,仅展示结构;权重需单独表,AHP/层次分析/决策/权重/准则,目标/准则/方案/权重,推荐,层次分析法(2次),决策评估类
TOPSIS雷达图,展示TOPSIS方法中备选方案的多维评分,多维对比直观;综合评价;方案排序,维度过多时复杂;需标准化,TOPSIS/多准则/雷达图/综合评价,准则/方案/得分,推荐,TOPSIS(1次),决策评估类
博弈树图,展示博弈论中的决策树和支付结构,策略路径清晰;博弈结构直观;纳什均衡识别,复杂博弈难展示;信息不完全需处理,博弈论/博弈树/纳什均衡/策略,玩家/策略/支付,推荐,博弈论(1次),决策评估类
支付矩阵热力图,展示博弈论中的支付矩阵,策略组合直观;优劣对比;均衡识别,仅适用两玩家;策略多时复杂,博弈论/支付矩阵/纳什均衡/策略,玩家/策略/支付值,推荐,博弈论(1次),决策评估类
蒙特卡洛分布图,展示蒙特卡洛模拟的结果分布,不确定性量化;概率分布;风险评估,需大量样本;计算成本,蒙特卡洛/Monte Carlo/不确定性/概率,模拟结果/频率/置信区间,推荐,统计分析类/验证分析类,验证分析类
敏感性龙卷风图,展示参数敏感性排序,快速识别关键参数;影响程度对比;决策优先级,仅单参数影响;交互作用未展示,敏感性分析/龙卷风图/参数影响/关键参数,参数名称/变化范围/结果变化,推荐,验证分析类通用,验证分析类
Sobol敏感性指数图,展示全局敏感性分析的Sobol指数,交互作用考虑;全局方法;参数重要性,计算密集;需Monte Carlo采样,Sobol/全局敏感性/方差分解/交互,参数/一阶指数/总阶指数,推荐,验证分析类通用,验证分析类
不确定性传播图,展示输入不确定性对输出的影响,不确定性量化;可信度评估;稳健性分析,假设分布需合理;计算成本,不确定性分析/误差传播/置信带/uncertainty,输入分布/输出分布/置信区间,推荐,验证分析类通用,验证分析类
模型对比雷达图,展示多个模型在多维指标上的性能对比,综合对比直观;优劣互补可见;决策支持,指标选择主观;标准化影响,模型对比/多指标/雷达图/综合评价,模型名称/指标/得分,推荐,验证分析类通用,验证分析类
预测区间图,展示点预测及其置信/预测区间,不确定性可视;风险评估;决策依据,区间计算假设强;覆盖率需验证,预测区间/置信区间/不确定性/时间序列,时间/预测值/上下界,推荐,时间序列分析(1次),统计分析类
ARIMA预测曲线,展示ARIMA模型的历史拟合和未来预测,趋势预测直观;置信区间清晰;模型验证,长期预测不稳定;平稳性假设,ARIMA/时间序列/趋势预测/forecast,时间/历史值/预测值/置信区间,推荐,ARIMA(13次),统计分析类
时间序列分解图,展示时间序列的趋势、季节和残差分解,成分识别;周期性发现;去噪,假设加法/乘法模型;分解方法影响,时间序列分解/STL/季节性/趋势,时间/原始值/趋势/季节/残差,推荐,时间序列分析(1次),统计分析类
ACF/PACF图,展示时间序列的自相关和偏自相关,ARIMA阶数识别;平稳性判断;模型诊断,需统计知识;置信带解读,ACF/PACF/自相关/阶数识别/时间序列,滞后阶数/相关系数/置信带,推荐,ARIMA(13次),统计分析类
平稳性检验图,展示ADF/KPSS检验结果和时间序列,统计严谨;建模前提验证;差分决策,需统计知识;检验功效有限,平稳性/ADF/KPSS/单位根/差分,时间序列/检验统计量/p值,推荐,ARIMA(13次),统计分析类
工作流程图,展示建模的完整工作流程,逻辑清晰;可复现;全局视角,可能过于简化;细节不足,工作流程/技术路线/方法论/研究框架,步骤定义/输入输出/流程连接,推荐,论文结构通用,论文呈现类
模型架构图,展示模型的整体架构和模块关系,系统理解;模块关系;技术路线,细节简化;需配合文字,模型架构/系统框架/模块/pipeline,模块定义/连接关系,推荐,论文结构通用,论文呈现类
符号定义表,以表格形式定义论文使用的数学符号,符号规范;便于查阅;避免歧义,仅定义;无解释,符号/notation/定义/变量,符号/名称/单位/描述,推荐,论文结构通用,论文呈现类
假设汇总表,以表格形式汇总模型假设及论证,假设透明;论证清晰;可追溯,仅列表;详细论证需正文,假设/assumption/论证/justification,假设ID/内容/论证/影响,推荐,论文结构通用,论文呈现类
性能对比表,以表格形式对比多模型/多方法的性能指标,全面对比;便于决策;标准化展示,信息密度高;需选择指标,性能对比/模型对比/指标/baseline,模型/RMSE/MAE/R²/其他指标,推荐,论文结构通用,论文呈现类
参数设置表,汇总模型/算法的参数设置,可复现;参数透明;调参记录,仅列表;无调参过程,参数设置/超参数/配置/reproducibility,参数名称/值/说明,推荐,论文结构通用,论文呈现类
敏感性分析表,以表格形式展示参数敏感性分析结果,结果量化;参数排序;鲁棒性评估,细节丢失;需配合图,敏感性分析/参数变化/结果变化,参数/变化范围/结果变化/等级,推荐,论文结构通用,论文呈现类
优缺点对比表,以表格形式对比方法/模型的优缺点,优劣对比;决策支持;批判性思维,主观性;需论证,优缺点/strengths/weaknesses/对比,方法/优点/缺点,推荐,论文结构通用,论文呈现类
数据描述统计表,展示数据的描述性统计量,数据概览;特征理解;便于引用,信息密度高;分布信息有限,描述统计/均值/标准差/数据特征,变量/均值/标准差/最小/最大/中位数,推荐,数据预处理通用,论文呈现类
数据预处理流程图,展示数据清洗和特征工程流程,处理透明;可复现;方法说明,流程简化;细节不足,数据预处理/清洗/特征工程/pipeline,处理步骤/输入输出,推荐,数据预处理通用,论文呈现类
