模型名称,类别,描述,适用场景,优点,缺点,关键参数,出现次数,结合策略,创新方向
ARIMA,时间序列,自回归积分移动平均模型用于时序预测,平稳时间序列预测/趋势分析/需求预测,理论完善;可解释;适合单变量,假设线性;难处理非平稳;不适合长期,p(AR阶数);d(差分阶数);q(MA阶数);季节参数,13,与机器学习集成(hybrid ARIMA-ML);与LSTM结合;多ARIMA集成;与回归增强,状态空间ARIMA;移动窗口ARIMA;分解法(X13/SEATS);自动ARIMA;多元ARIMAX
线性回归,统计建模,建立因变量与自变量线性关系的统计模型,关系建模/预测/因素分析/趋势分析,简单易解释;假设检验完善;计算快,仅捕捉线性关系;对异常值敏感;多重共线性,回归系数;截距;显著性水平;R²,11,与正则化结合(Ridge/Lasso);与树模型集成;与GAM扩展(非线性);与分位数回归结合,贝叶斯线性回归;分布鲁棒回归;分层回归;变系数回归;回归树
Agent-Based,复杂系统仿真,模拟个体代理交互产生涌现行为的方法,社会系统/生态系统/交通/疏散/市场,个体异质性;涌现行为;直观可视化,参数标定困难;验证难;计算量大,代理属性;行为规则;交互机制;环境设置,10,与元胞自动机结合(空间结构);与SIR模型结合(传染病);与机器学习结合(行为学习);与优化算法耦合,强化学习Agent;多级Agent;认知架构;Agent与环境协同进化;神经Agent
Lotka-Volterra,生态建模,捕食者-猎物相互作用的微分方程模型,生态系统动态/种群竞争/资源消耗/病毒-免疫,经典模型;周期行为;可解析分析,简化假设多;对参数敏感;忽略环境容量,猎物增长率a;捕食率b;捕食者死亡率c;转化效率d,9,与空间扩散结合(PDE扩展);与随机过程结合;多种群扩展;与环境容量耦合,时滞后扩展;分数阶Lotka-Volterra;非线性响应函数;随机LV模型;空间明确模型
最小生成树,图论优化,连接所有节点的最小权重树结构,网络设计/电路布线/聚类/近似TSP,最优保证;高效算法(Prim/Kruskal);理论完善,仅考虑连通性;不含度约束,节点集;边权重;约束条件(如度约束),8,与Steiner树结合(增加节点);与路径规划结合;与聚类算法结合;多目标MST,度约束MST;容量MST;动态MST;最小瓶颈生成树;随机MST
蚁群算法,群智能优化,模拟蚂蚁觅食行为的组合优化算法,TSP/车辆路径/调度/网络路由,并行分布式;正反馈机制;适合组合优化,参数多且敏感;收敛慢;局部最优,蚂蚁数量;信息素挥发率;启发因子;迭代次数,7,与遗传算法混合;与局部搜索结合;多ACO集成;与机器学习参数调节,Max-Min蚁系;精英蚁系;排序蚁系;ACO与深度学习融合;自适应信息素
逻辑回归,统计分类,建模二分类概率的广义线性模型,二分类/概率预测/风险评估/因素分析,概率输出;可解释性强;不易过拟合,仅线性决策边界;特征工程依赖,正则化参数;阈值;特征;类别权重,5,与分类树集成;与神经网络堆叠;多类逻辑回归(softmax);与況景NLP结合,序列逻辑回归(CRF);分布鲁棒逻辑回归;多任务学习;贝叶斯逻辑回归;分层逻辑模型
偏微分方程,微分方程建模,描述变量随多个自变量(时空)变化的方程,传热传质/流体力学/波动/扩散/电磁场,描述连续介质物理过程;空间分布建模,解析解困难;需数值方法;计算量大,边界条件;初始条件;域几何;物理参数,5,与有限元/有限差分结合;与神经网络结合(PINN);与元胞自动机转换;多尺度分解,分数阶PDE;随机PDE;非局部PDE;自适应数值方法;DeepONet;符号-数值混合
深度学习,机器学习,多层神经网络的特征自动学习方法,图像/语音/NLP/复杂模式识别,自动特征提取;强表示能力;处理复杂数据,数据需求大;计算资源多;黑箱,网络架构;层数/宽度;学习率;批大小;正则化,4,与CNN/RNN/Transformer结合;与强化学习结合(DRL);与物理模型结合(PINN);与知识图谱结合,自监督学习;迁移学习;神经架构搜索(NAS);Transformer变体;多模态深度学习
粒子群优化,群智能优化,模拟鸟群觅食行为的全局优化算法,连续优化/参数标定/神经网络训练,实现简单;参数少;收敛快,易陷入局部最优;高维性能下降,粒子数;惯性权重;学习因子c1/c2;最大速度,3,与遗传算法融合;与模拟退火结合;多PSO集成;自适应PSO,量子粒子群;二进PSO;多目标PSO;混合PSO-SA;离散PSO
敏感性分析,模型验证,研究输入参数变化对输出结果的影响程度,参数重要性排序/模型验证/不确定性评估,识别关键参数;增强模型可信度;指导数据收集,计算量大(尤其全局);参数相互作用复杂,参数范围;变化幅度;采样方法;输出指标,2,与贝叶斯优化结合;与机器学习结合(ML-SA);与代理模型加速;多保真度分析,全局SA(Sobol);混沌多SA;镜像轮SA;基于方差SA;高维模型表示(HDMR)
层次分析法,多准则决策,将复杂决策分解为层次结构的定性定量方法,方案评估/权重确定/多准则决策/优先排序,结构化思维;主客观结合;易于理解,主观性强;一致性要求;标度争议,层次结构;判断矩阵;一致性比率CR;权重向量,2,与模糊集合结合(Fuzzy AHP);与ANP扩展网络结构;与TOPSIS/ELECTRE集成;与优化算法确定权重,群组AHP(集体决策);区间AHP;三角模糊AHP;灰色AHP;贝叶斯AHP;机器学习辅助一致性检验
交叉验证,模型验证,数据重采样评估模型泛化能力的方法,模型选择/超参数调优/性能评估,充分利用数据;减少过拟合评估偏差,计算量成倍增加;小样本变异大,折数k;分层策略;随机种子;评估指标,1,与网格搜索结合(GridSearchCV);与贝叶斯优化结合;与集成学习结合;嵌套交叉验证,时间序列交叉验证;分层k折;留一交叉验证(LOOCV);蒙特卡罗交叉验证;分布式并行验证
图论,数学建模,研究图(顶点和边)结构和性质的数学分支,网络分析/路径规划/连通性/匹配/着色,抽象建模能力;丰富算法库,问题建模需要抽象能力;大规模图计算量大,顶点集V;边集E;权重;有向/无向,1,与最短路径算法结合;与网络流结合;与机器学习结合(图神经网络);与优化算法结合,图神经网络(GNN);动态图算法;概率图模型;超图理论;时态图分析;图核方法
稳定性分析,动力系统分析,研究系统平衡点或解的稳定性质,控制系统/动力学/数值方法/生态平衡,预测系统长期行为;设计稳定系统,非线性系统分析复杂;局部vs全局,平衡点;Jacobian矩阵;特征值;Lyapunov函数,1,与常微分方程结合;与SIR模型结合(疾病消除条件);与优化算法结合(鲁棒稳定设计);与蒙特卡罗模拟,Lyapunov间接/直接法;分岔理论;混沌分析;鲁棒稳定性;随机稳定性;时滞系统稳定
时间序列分析,统计分析,研究随时间变化的数据序列的统计方法,预测/趋势识别/周期检测/异常检测,处理时间相关性;成熟统计理论,假设平稳性;线性方法限制,采样频率;滞后阶数;窗口大小;季节周期,1,与ARIMA结合;与LSTM结合(深度时序);与Prophet结合;与小波变换结合(多尺度),状态空间模型;GARCH波动率;向量自回归(VAR);动态时间规整(DTW);因果发现
博弈论,决策分析,研究多个决策者策略互动的数学理论,竞争策略/拍卖设计/资源分配/冲突分析,理性决策框架;均衡概念;机制设计,完全理性假设;均衡可能不存在或不唯一,参与者;策略集;支付函数;信息结构,1,与Agent-Based结合(演化博弈);与优化算法求解Nash均衡;与机器学习结合(多智能体强化学习);与网络理论,演化博弈动态;贝叶斯博弈;重复博弈;合作博弈;机制设计;拍卖理论
支持向量机,机器学习,基于最大间隔原理的分类/回归方法,分类/回归/异常检测,理论基础好;处理高维;核技巧,大规模数据慢;核函数选择;参数敏感,核函数;惩罚参数C;核参数γ;容差ε,1,与随机森林集成;与深度学习结合(深度核学习);与粒子群优化参数;多核学习,孪生支持向量机;最小二乘SVM;在线SVM;半监督SVM;结构化SVM;模糊SVM
主成分分析,降维方法,通过正交变换提取主要方差方向,降维/特征提取/可视化/去噪,无监督;保留方差信息;计算高效,线性假设;解释性降低;方差≠重要性,主成分数量;方差贡献阈值;标准化方法,1,与线性回归结合(主成分回归);与聚类结合;与神经网络结合(自编码器);与t-SNE/UMAP结合,核PCA;稀疏PCA;鲁棒PCA;概率PCA;增量PCA;函数式PCA
龙格-库塔法,数值求解方法,求解常微分方程初值问题的数值方法,ODE数值求解/动力学模拟/控制系统,高精度;稳定性好;广泛应用,步长选择影响;刚性方程需特殊处理,步长h;阶数(RK4最常用);误差控制,1,与常微分方程模型结合;与SIR模型求解;与有限元转化;与自适应步长结合,Dormand-Prince法(RK45);隐式RK(刚性ODE);辛RK(哈密顿系统);指数RK;分数步法
TOPSIS,多准则决策,基于与理想解距离的综合评价方法,方案排序/综合评价/多属性决策,考虑理想与负理想;计算简单;适合定量,权重确定主观;对异常值敏感,决策矩阵;权重向量;正负理想解;相对贴近度,1,与层次分析法结合(AHP-TOPSIS);与模糊集合结合;与灰色关联结合;与熵权法结合,区间TOPSIS;模糊TOPSIS;灰色TOPSIS;动态TOPSIS;群组TOPSIS;概率TOPSIS
流体力学,物理建模,研究流体(液体/气体)运动规律的学科,气流分析/水流模拟/热交换/管道设计,物理准确;广泛验证;工业标准,复杂流动难以求解;湍流建模困难,Reynolds数;边界条件;初始场;网格;时间步长,1,与有限元/有限体积结合(CFD);与偏微分方程结合;与神经网络结合(Physics-Informed);与粒子方法,大涡模拟(LES);直接数值模拟(DNS);格子Boltzmann;无网格方法;机器学习湍流模型
K均值,聚类分析,基于距离的分区聚类算法,数据分组/客户细分/图像分割/降维,简单高效;可扩展;易实现,需预设K;对初始值敏感;仅球形簇,簇数K;距离度量;初始化方法;收敛条件,1,与层次聚类结合;与DBSCAN结合(密度+分区);与主成分分析降维;与随机森林特征选择,K-means++;Mini-batch K-means;模糊C均值;核K-means;谱聚类;高斯混合模型
非线性规划,数学优化,目标函数或约束含非线性项的优化问题,工程设计/参数估计/最优控制,处理非线性关系;更贴近实际,可能多个局部最优;求解复杂;收敛性问题,目标函数;约束条件;初始点;求解算法;容差,1,与遗传算法结合(全局搜索);与序列二次规划结合;与信赖域方法;与有限元优化设计,序列凸优化;内点法;增广Lagrange;多起点NLP;全局优化;鲁棒非线性规划
最短路径,图论优化,找图中两点间最小权重路径的问题,导航/网络路由/物流规划/游戏AI,算法成熟(Dijkstra/Bellman-Ford);最优保证,负权边需特殊处理;大图计算量,起点;终点;边权重;图结构,1,与遗传算法结合(TSP);与最小生成树结合;与动态规划结合;与A*启发式搜索,双向Dijkstra;分层图最短路;时变最短路;k最短路径;约束最短路;动态最短路
贝叶斯方法,统计推断,基于贝叶斯定理更新概率分布的推断方法,参数估计/模型选择/不确定性量化,融合先验知识;不确定性量化;小样本,先验选择主观;计算复杂(MCMC),先验分布;似然函数;后验分布;采样方法,1,与线性回归结合(贝叶斯回归);与神经网络结合(贝叶斯深度学习);与优化算法结合(贝叶斯优化);与SIR模型参数估计,变分贝叶斯;MCMC采样;粒子滤波;贝叶斯网络;近似贝叶斯计算(ABC);层次贝叶斯
