图表类型,作用/功能,优点,缺点,适用场景/触发关键词,输入数据要求,论文来源示例
熵差异分析图,分析不同因素对目标变量的影响程度，通过熵减量化重要性,量化特征贡献度；结论直观；信息论支撑,熵减计算依赖概率分布假设,熵、信息增益、特征重要性、信息论,各特征的观测数据、残差效应值,2401298-图12
预测vs实际对比图,验证模型预测效果，对比预测值与实际值,直观展示预测精度；便于误差分析；模型验证,仅展示单场景；缺乏多场景验证,模型验证、预测精度、拟合效果、误差分析,模型预测值、实际观测值、时间序列,2401298-图13
性别差异对比图,对比男女样本中各因素的影响差异,揭示性别差异；提升模型通用性；群体对比,部分群体数据量可能不足,性别差异、群体对比、分组分析、男女对比,男女样本的特征数据、效应值,2401298-图14
通用模型框架图,构建适用于多种场景的预测框架,高度抽象；可迁移性强；框架清晰,框架过于通用；需针对具体场景细化,模型框架、通用设计、可迁移、架构设计,核心特征、潜变量定义、参数设置,2401298-图15
敏感性分析结果图,评估参数变化对模型的影响,验证模型鲁棒性；明确参数敏感度；稳定性分析,仅展示部分参数变化影响,敏感性分析、鲁棒性、参数影响、稳定性检验,不同参数值、模型输出结果,2401298-图16
缺失值分布图,展示数据集中各列缺失值数量及分布,快速定位缺失数据；辅助数据清洗；数据质量评估,仅呈现缺失值计数；未分析缺失原因,数据预处理、缺失值、数据清洗、数据质量,原始数据集、缺失值标记,2401445-图3
梯度提升树优化图,展示GBDT模型的超参数优化过程与结果,超参数优化逻辑清晰；可复现性强；网格搜索,未对比其他优化算法效果,GBDT、XGBoost、超参数优化、网格搜索、调参,特征数据、超参数候选值、验证集性能指标,2401445-图4
实时获胜概率图,展示单场比赛中球员实时获胜概率变化,动态反映状态波动；可视化效果好；实时预测,仅针对单方；未呈现对比,实时预测、获胜概率、动态分析、比赛进程,得分序列、模型预测的获胜概率,2401445-图5
动态表现指数曲线图,量化比赛中球员的动态表现指数变化,整合多维度指标；评估全面；综合得分,权重设定需进一步验证合理性,综合评分、DPI、动态指数、多维度评估,表现概率PE、个人实力PS、发球优势SA,2401445-图6
DTW对齐路径图,对比两个序列的相似度，验证模式存在性,考虑序列长度差异；相似度计算合理；动态规整,计算复杂度高；多序列对比耗时,序列相似度、DTW、时间序列对齐、模式匹配,模拟序列、实际序列、DTW距离参数,2401445-图7
指标重要性排序图,展示模型中预测目标的关键指标排序,明确核心影响因素；便于解释；特征选择,仅呈现相对重要性；未量化绝对贡献,特征重要性、随机森林、变量选择、关键因素,特征变量数据、模型特征重要性得分,2401445-图8
HMM状态转换示意图,解释HMM模型的状态转换与观测概率关系,直观呈现隐状态与观测值关联；易于理解；概率模型,未展示具体参数估计过程,HMM、隐马尔可夫、状态转换、观测概率,隐状态定义、观测变量、转换概率,2401445-图9
转折点预测图,预测比赛中关键转折的具体时间点,精准定位关键节点；实用性强；趋势转折,转折点判定阈值需主观设定,转折点、关键节点、趋势变化、拐点检测,得分序列、模型预测的转折概率、阈值参数,2401445-图10
DPI与转折点叠加图,结合动态表现指数与转折点分析关键节点,多维度融合；便于复盘分析；综合展示,转折点与指标的关联分析不够深入,多维度分析、叠加展示、综合可视化,DPI序列、预测转折点、得分数据,2401445-图11
比赛对阵图,展示比赛的晋级路径与对阵关系,直观呈现赛事结构；便于数据选取；比赛流程,仅为结构示意图；无量化分析,比赛结构、对阵关系、淘汰赛、晋级路径,参赛者、比赛结果、晋级规则,2401919-图1
研究工作总览图,梳理从数据处理到模型应用的全流程,逻辑清晰；步骤明确；便于复现,未细化各步骤关键参数,研究框架、工作流程、方法论、技术路线,数据预处理方法、模型选择、验证指标,2401919-图2
PCA-TOPSIS模型流程图,展示球员表现评估模型的构建步骤,整合PCA降维与TOPSIS排序；方法科学；流程清晰,步骤较多；计算复杂度高,PCA、TOPSIS、综合评价、降维排序,原始指标、标准化结果、特征值,2401919-图3
评估体系框架图,构建多维度多指标的评估框架,指标全面；层次分明；体系完整,部分指标难以量化,评估体系、指标体系、层次分析、多维度评价,各维度指标定义、量化方法、权重,2401919-图4
相关性系数矩阵热力图,分析多个指标间的相关性，辅助降维,全面展示变量关联；便于冗余特征剔除；矩阵展示,热力图维度多时易混淆,相关性矩阵、特征选择、降维、多变量分析,多个评估指标的量化数据,2401919-图5
主成分特征向量图,展示各指标在主成分中的载荷量,明确主成分的核心贡献指标；便于解释；PCA可视化,仅呈现部分主成分；可能丢失信息,PCA、主成分分析、载荷量、特征向量,主成分分析后的特征向量矩阵,2401919-图6
球员得分趋势图,展示比赛中球员的实时表现得分变化,动态反映状态波动；可视化效果好；趋势分析,标准化处理可能掩盖原始差异,得分趋势、实时表现、动态变化、时序分析,模型计算的表现得分、时间序列,2401919-图7
自相关与偏自相关图,检验序列是否为白噪声，验证非随机性,直观呈现序列相关性；统计意义明确；时序检验,仅针对单序列；需多场验证,自相关、ACF、PACF、白噪声检验、时序分析,表现得分序列、滞后阶数、置信区间,2401919-图8
GM灰色预测转折点图,验证灰色预测模型的转折点预测效果,预测值与实际值拟合度高；精度好；GM(1.1),仅展示单场结果；缺乏多场对比,灰色预测、GM(1.1)、转折点、小样本预测,得分差值序列、阈值参数、GM预测结果,2401919-图9
异常值箱线图,识别数据中的异常值，辅助数据清洗,直观呈现异常值分布；便于处理；四分位数,未区分异常值是错误还是真实极值,异常值检测、箱线图、数据清洗、离群点,原始数据列,2403774-图1/图2
缺失值热力图,定位缺失数据的位置与分布，辅助数据补全,直观展示缺失模式；便于选择补全方法；空值分布,仅呈现缺失位置；未分析缺失原因,缺失值分析、热力图、数据补全、数据质量,原始数据集、缺失值标记矩阵,2403774-图3
变量混淆矩阵图,分析变量间的相关性，辅助变量选择,全面展示变量关联；便于剔除冗余变量；相关性分析,矩阵维度高时弱关联易被忽略,混淆矩阵、变量选择、多重共线性、相关性,所有候选变量的量化数据,2403774-图4
自变量自相关程度图,展示高自相关的变量对，辅助特征筛选,明确变量冗余关系；简化模型输入；共线性检测,仅呈现线性自相关；未考虑非线性,自相关、共线性、变量筛选、Spearman相关,候选自变量的量化数据、相关系数,2403774-图5
变量与目标相关性排序图,排序自变量对因变量的影响强度，筛选核心特征,明确核心影响因素；提升模型效率；特征排序,仅呈现相对相关性；未量化绝对贡献,特征排序、相关性排序、变量选择、目标相关,自变量与因变量的量化数据,2403774-图6
得分与动量可视化图,展示比赛中得分与动量的动态变化,直观呈现关联；便于分析；双轴图,动量量化依赖模型假设,双轴图、得分-动量、动态关联、综合展示,动量预测值、得分序列、滤波参数,2403774-图7
随机场景生成流程图,展示随机数据的生成逻辑，用于对比验证,流程清晰；可复现性强；模拟对比,随机生成可能与真实规则有偏差,随机模拟、对照实验、数据生成、模拟比较,原始数据、随机抽样参数,2403774-图8
预测与定义映射图,对比真实与模拟数据中变量的映射关系,直观验证影响关系；结论明确；映射对比,仅展示定性映射；未量化误差,映射关系、对比验证、真实vs模拟,真实数据预测值、模拟数据预测值,2403774-图9
得分趋势与转折点图,展示得分趋势与检测到的转折点,精准定位关键转折区间；实用性强；趋势+标记,转折点以区间呈现；未明确具体点,趋势图+标记、转折点检测、关键区间,得分序列、转折点检测结果,2403774-图10
扩张卷积示意图,解释TCN模型的扩张卷积原理,直观展示卷积机制；便于理解模型；网络结构,未结合实际数据说明效果,TCN、扩张卷积、时间卷积网络、深度学习,时间序列数据、卷积核大小、扩张系数,2403774-图12
因果卷积示意图,解释因果卷积原理，保证预测的时序合理性,明确时序约束；避免信息泄露；因果性,未展示实际数据效果,因果卷积、时序约束、TCN、无泄露,时间序列数据、卷积核、时序标记,2403774-图13
MSTCN模型结构图,展示多尺度时间卷积网络的结构,多时间尺度特征提取；预测精度高；网络架构,模型结构复杂；训练需大量数据,MSTCN、多尺度、深度学习、神经网络结构,时间序列、多尺度卷积核参数,2403774-图14
模型总览图,梳理多个模型的逻辑关系与数据流,全流程覆盖；结构完整；系统架构,未细化参数传递关系,系统架构、模型流程、数据流、总体设计,各模型输入输出定义、数据流逻辑,2406176-图1
RTMQ模型流程图,展示实时量化模型的构建步骤,步骤清晰；每阶段目标明确；实时计算,计算过程复杂；涉及多步迭代,实时量化、RTMQ、模型构建、流程设计,Elo评级、首分概率、实时概率,2406176-图2
发球方得分progression图,展示发球方不同得分组合的获胜概率,符合规则；概率计算严谨；状态转移,仅呈现发球方情况,发球分析、得分组合、状态概率、比赛规则,首分获胜概率、得分组合,2406176-图3
概率关系曲线图,展示变量间的单调关系,直观验证求解方法合理性；关系明确；数学验证,仅呈现趋势；未标注具体数值,概率关系、单调性、数学验证、二分法,不同参数对应的概率值,2406176-图4
残差概率分布图,检验残差是否符合正态分布，验证显著性,统计检验可视化；结论直观；正态检验,仅展示单场残差；需多场验证,残差分析、正态分布、Q-Q图、统计检验,残差数据、正态分布拟合曲线,2406176-图7
傅里叶拟合趋势图,展示经傅里叶拟合后的长期趋势,突出核心趋势；排除短期波动；频域分析,拟合可能丢失瞬时信息,傅里叶变换、趋势提取、频域分析、周期分析,实时数据、傅里叶级数参数,2406176-图8
策略因子值图,展示不同策略对应的因子取值，辅助策略分类,直观区分策略类型；便于决策；聚类展示,因子取值基于聚类；主观性较强,策略分析、因子分析、K-means、聚类策略,聚类后的策略分类、因子取值,2406176-图10
最优策略组合图,展示针对不同情况的最优策略概率分布,策略针对性强；实用性高；纳什均衡,策略基于历史；未考虑实时变化,博弈论、纳什均衡、最优策略、策略组合,混合策略纳什均衡计算结果,2406176-图11
线性vs Sigmoid关系图,对比两种关系对目标的影响，选择更合理的映射,突出非线性影响；更符合实际；映射选择,sigmoid参数需主观设定,非线性映射、sigmoid、线性vs非线性,得分率数据、映射结果,2406324-图4
动量计算模型示意图,展示动量计算中的权重分配逻辑,直观呈现加权原理；便于理解；权重分配,权重设定需进一步验证,权重分配、加权计算、模型设计,游戏得分、点得分、权重参数,2406324-图5
滤波算法效果对比图,对比不同滤波算法的平滑效果，选择最优方法,多算法对比；平滑效果可量化；方法选择,部分算法存在滞后,滤波算法、平滑处理、移动平均、FIR,原始曲线、滤波算法参数,2406324-图7
一阶导数转折点图,识别曲线的转折点，定位关键节点,数学意义明确；转折点判定客观；微分分析,导数对噪声敏感；需先平滑,导数分析、转折点、微分、拐点检测,平滑后的曲线、一阶导数结果,2406324-图8
神经网络预测对比图,对比RNN、GRU、LSTM的预测效果,多模型对比；选择最优模型；深度学习,训练数据量不足时优势未充分发挥,RNN、GRU、LSTM、神经网络对比,特征数据、模型参数、预测结果,2406324-图9
迁移学习效果对比图,展示迁移学习对模型预测效果的提升,提升小数据量下的预测精度；效果显著,聚类数量需主观设定,迁移学习、小样本、聚类迁移,聚类后数据、训练过程、预测结果,2406324-图10
SHAP值分析图,分析各特征对预测的影响程度，识别核心因素,量化特征贡献度；结果直观；可解释AI,SHAP值依赖模型；可能受偏差影响,SHAP、特征解释、可解释性、XAI,XGBoost模型、特征数据、SHAP值,2406324-图11
步长敏感性分析图,测试不同步长对模型预测精度的影响,明确最优步长范围；提升效率；超参数分析,仅测试步长；未考虑其他超参数,步长、LSTM、超参数敏感性,不同步长、预测误差MSE,2406324-图12
聚类数量敏感性分析图,测试不同聚类数量对模型效果的影响,确定最优聚类数量；参数优化,聚类数量选择缺乏统一标准,K-means、聚类数量、肘部法则、轮廓系数,不同聚类数量、模型预测偏差率,2406324-图13
3D聚类结果图,展示数据在3维空间中的聚类分布,直观呈现聚类效果；验证聚类合理性；3D可视化,3维空间可能掩盖高维分布,3D可视化、聚类展示、PCA降维、空间分布,PCA降维后的3维数据、聚类标签,2406324-图14
研究工作流程图,梳理从数据准备到模型应用的全流程,步骤明确；涵盖完整流程；可复现性强,未细化关键参数,工作流程、技术路线、方法论、研究框架,数据来源、模型选择、验证方法,2409404-图1
规则说明图,明确领域的关键规则，辅助关键节点识别,规则梳理清晰；便于理解领域知识,仅呈现核心规则；未包含细节,规则说明、领域知识、比赛规则、评分规则,官方规则、关键场景定义,2409404-图2
技术统计对比图表,展示核心技术指标对比,数据详实；便于分析差距；指标对比,仅为静态统计；未反映动态变化,技术统计、指标对比、表格展示、数据汇总,技术指标数据、总数据,2409404-图3
比赛流程与动量变化图,展示比赛实时动量与关键节点,多维度融合；动态呈现局势；综合可视化,动量计算依赖参数选择,比赛流程、动量变化、关键节点、综合图,实时动量、时间序列、节点标记,2409404-图4
动量分布散点图,呈现动量的分布情况，辅助分析,直观展示集中区间；便于分析,散点图易重叠；难以区分具体点,散点图、分布分析、动量分布,实时动量数据、时间序列,2409404-图5
PCA双图(Biplot),展示特征在二维主成分空间中的分布,直观呈现聚类趋势；便于模型适配；降维可视化,二维空间可能丢失高维信息,PCA、双图、降维、特征分布,多特征量化数据、PCA降维结果,2409404-图6
混淆矩阵图,评估模型分类准确率，展示真假阳性/阴性分布,直观呈现分类效果；便于误差分析；分类评估,仅针对单场景；缺乏多场验证,混淆矩阵、分类评估、准确率、召回率,模型预测标签、实际标签、分类统计,2409404-图8
高斯噪声鲁棒性测试图,测试模型对噪声的鲁棒性,噪声干扰模拟真实场景；结果可靠；抗干扰测试,仅测试部分指标；未评估全面,鲁棒性测试、高斯噪声、抗干扰、敏感性,原始数据、高斯噪声参数、模型召回率,2401445-图15
