variable,unit,description,source,preprocessing
VertMesuré,(0-255?),显示颜色通道测量值（红/绿/蓝，作为显示刺激参数）,AndroWatts,
BleuMesuré,(0-255?),显示颜色通道测量值（红/绿/蓝，作为显示刺激参数）,AndroWatts,
Brightness,(等级/0-255),屏幕亮度（由测试应用设置；取值范围以原数据为准）,AndroWatts,
L21S_VDD2L_MEM_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
UFS(Disk)_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
S12S_VDD_AUR_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
Camera_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
GPU3D_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
Sensor_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
Memory_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
Memory_ENERGY_AVG_UWS.1,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
Display_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
GPS_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
GPU_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
WLANBT_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
L22M_DISP_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
S6M_LLDO1_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
S8M_LLDO2_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
S9M_VDD_CPUCL0_M_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
CPU_BIG_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
CPU_LITTLE_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
CPU_MID_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
INFRASTRUCTURE_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
CELLULAR_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
CELLULAR_ENERGY_AVG_UWS.1,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
INFRASTRUCTURE_ENERGY_AVG_UWS.1,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
TPU_ENERGY_AVG_UWS,µW·s,组件能量/功率积分量（按字段名命名；作者脚本用于能量相关分析）,AndroWatts,
CPU_LITTLE_FREQ_KHz,kHz,平均频率（CPU簇）,AndroWatts,
CPU_MID_FREQ_KHz,kHz,平均频率（CPU簇）,AndroWatts,
CPU_BIG_FREQ_KHz,kHz,平均频率（CPU簇）,AndroWatts,
GPU0_FREQ,(见原数据),GPU/显存频率指标（由 perfetto trace 提取的聚合指标）,AndroWatts,
GPU_1FREQ,(见原数据),GPU/显存频率指标（由 perfetto trace 提取的聚合指标）,AndroWatts,
GPU_MEM_AVG,(见原数据),GPU/显存频率指标（由 perfetto trace 提取的聚合指标）,AndroWatts,
BATTERY_DISCHARGE_TOTAL_UA,µA,电池放电总量指标（由 perfetto trace 提取的聚合指标）,AndroWatts,
BATTERY_DISCHARGE_RATE_UAS,µA·s,电池放电率（trace_parser README 列为 Battery discharge rate；作者脚本将其×4.4V 转为 µW·s）,AndroWatts,
TOTAL_DATA_WIFI_BYTES,bytes,WiFi总数据量（入/出合计）,AndroWatts,
AVG_SOC_TEMP,m°C,平均SOC温度（毫摄氏度）,AndroWatts,
DIFF_SOC_TEMP,m°C,SOC温度差（毫摄氏度）,AndroWatts,
BATTERY__PERCENT,%,电池百分比,AndroWatts,
L21S_VDD2L_MEM_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
UFS(Disk)_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
S12S_VDD_AUR_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
Camera_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
GPU3D_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
Sensor_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
Memory_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
Memory_ENERGY_UW.1,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
Display_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
GPS_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
GPU_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
WLANBT_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
L22M_DISP_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
S6M_LLDO1_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
S8M_LLDO2_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
S9M_VDD_CPUCL0_M_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
CPU_BIG_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
CPU_LITTLE_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
CPU_MID_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
INFRASTRUCTURE_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
CELLULAR_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
CELLULAR_ENERGY_UW.1,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
INFRASTRUCTURE_ENERGY_UW.1,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
TPU_ENERGY_UW,µW,组件平均功率（按字段名所示组件/电源轨）,AndroWatts,
C_ID,,作者导出/模型特征字段（建议结合 AndroWatts 附带 analysis.py/README 解释）,AndroWatts,
C_PL,,作者导出/模型特征字段（建议结合 AndroWatts 附带 analysis.py/README 解释）,AndroWatts,
M_ID,,作者导出/模型特征字段（建议结合 AndroWatts 附带 analysis.py/README 解释）,AndroWatts,
M_PL,,作者导出/模型特征字段（建议结合 AndroWatts 附带 analysis.py/README 解释）,AndroWatts,
E_total_uWh_est,µW·s（按原字段命名）,各组件 *_ENERGY_AVG_UWS 合计（用于能量规模代理；与 P_total_uW 比值用于估计时长）,派生(AndroWatts),sum(所有 *_ENERGY_AVG_UWS 列)
duration_h_est,h,估计测试时长：E_total_uWh_est / P_total_uW（仅作近似）,派生(AndroWatts),duration_h_est=E_total/P_total；duration_s_est=duration_h_est×3600
t_empty_s_est,s,常流近似下到0电时间：soc0/(-dSOC/dt),派生(组合),基于常流近似从 I_obs_A 与 Q_eff_C 推导
